id,title,imageurl,director,release_date,overview,genres
283995,가디언즈 오브 갤럭시 Vol. 2,https://image.tmdb.org/t/p/w500/uDuwGhQgffd5GQ695oUfy5oZGqP.jpg,15218,2017-04-19,타노스에 맞서 은하계를 구하고 최고의 해결사로 등극한 스타로드 일행. 하지만 소버린 행성의 여사제 아이샤(엘리자베스 데비키)를 돕던 중 옛버릇을 고치지 못하고 행성의 배터리를 훔쳤다가 소버린 종족에 쫓기는 신세가 된다. 그 과정에서 피터의 아버지 에고(커트 러셀)가 그들을 돕는다. 아픈 엄마와 어린 자신을 버리고 떠난 아버지에 대한 원망이 컸던 피터는 에고의 행성에서 아버지의 능력을 확인하곤 그 힘에 이끌린다. 하지만 가모라는 에고의 행성에서 이상한 기운을 감지한다. 한편 반란군에 의해 위기에 처한 욘두(마이클 루커)는 로켓과 그루트의 도움으로 목숨을 구한다.,"[28, 12, 35, 878]"
480414,요로나의 저주,https://image.tmdb.org/t/p/w500/8kllbCOM38idMWXzsk6mMzpbcsC.jpg,1607672,2019-04-17,"1973년, 애나는 남편 없이 두 아이와 살고 있다. 사회복지사인 애나가 담당하던 한 여인의 아이들이 불의의 사고로 목숨을 잃자, 그녀는 이것이 ‘요로나’의 짓이라면서 애나에게도 똑같은 저주가 내릴 것이라 예언한다. 어느 날부터인가 울음소리를 들려오고 의문의 존재가 아이들을 위협하는데...","[53, 27, 9648]"
118340,가디언즈 오브 갤럭시,https://image.tmdb.org/t/p/w500/tJMnQZMNSPFmC6m7hlIYRZZXJti.jpg,15218,2014-07-30,"자칭 전설의 무법자 스타로드, 그러나 현실은 우주를 떠도는 그저그런 좀도둑에 불과한 피터 퀼(크리스 프랫)은 무엇인지도 모른 채 오브를 훔쳤다가 생고생의 길로 접어든다. 값나가는 유물인 줄 알았던 오브가 실은 어마어마한 힘을 지닌 인피니티 스톤이었던 것. 뜻하지 않게 갤럭시의 절대악 타노스와 로난의 타겟이 된 그는 감옥에서 만난 암살자 가모라(조 샐다나), 거구의 파이터 드랙스(데이브 바티스타), 현상금 사냥꾼 로켓(브래들리 쿠퍼)과 그루트(빈 디젤) 콤비와 불편한 동맹을 맺고 일명 가디언즈 오브 갤럭시를 결성하는데...","[28, 878, 12]"
324857,스파이더맨: 뉴 유니버스,https://image.tmdb.org/t/p/w500/vnWgIIEWAvWKOI65tm6h6VRbyY8.jpg,59918,2018-12-07,"평범한 10대 마일스 모랄레스는 우연히 방사능 거미에 물려 스파이더맨 능력을 가지게 된다. 혼란스러워하던 마일스는 악당과 싸우고 있는 피터 파커를 마주치게 되고 피터 파커는 마일스가 자신과 같은 능력을 가지고 있음을 직감한다. 여러 개의 평행세계가 존재한다는 것을 알게 된 마일스와 피터 파커는 이후 스파이더우먼 스파이더 그웬, 스파이더맨 누아르, 스파이더햄 등 평행세계 속 공존하는 모든 스파이더맨들을 만나게 되는데... 하나의 유니버스에서 만나 팀을 결성한 스파이더맨들은 과연 세계를 구할 수 있을까?","[28, 12, 16, 878, 35]"
532671,프로디지,https://image.tmdb.org/t/p/w500/wYKMKjuygREXTfcgsmYD0mBymNh.jpg,150630,2019-02-06,"아기때부터 천재적인 지능을 보이며 엄마 ‘새라’를 흡족하게 하던 완벽한 소년 ‘마일스’.  영재교육을 받는 8살이 된 ‘마일스’는 점점 폭력적이고 손에 집착하는 이상 행동을 하며 무서운 소년으로 변해간다. 혹시 살인본능? 아니면 사이코패스? ‘마일스’의 증상을 걱정하던 ‘새라’는 한 의사를 통해 퇴행 최면을 받게 하고, 아들이 과거 끔찍한 일을 저지른 사람에게 빙의 됐다는 사실을 알게 된다.","[27, 53]"
284053,토르: 라그나로크,https://image.tmdb.org/t/p/w500/jwswXltzpGaKZCtz1CiDjXHQYAs.jpg,55934,2017-10-25,"은하계를 탐험하던 토르는 오딘의 오랜 숙적 수르트와의 대결에서 승리하는데, 수르트는 라그나로크가 이미 시작됐고, 막을 수 없을 것이라는 의미심장한 말을 남긴다. 한편 오딘의 힘이 약해지며 그가 봉인했던 죽음의 여신 헬라가 나타난다. 오딘의 첫째딸인 그녀는 두 동생, 토르와 로키를 가볍게 제압하고 아스가르드를 정복한다. 헬라와의 전쟁에서 묠니르를 잃고 사카아르라는 미지의 행성에 불시착한 토르는 아스가르드 행성으로 돌아가기 위해 고군분투한다. 행성의 통치자 그랜드 마스터는 행성 최고의 투사 챔피언과 싸워 이기면 행성을 떠나게 해주겠다고 토르에게 제안한다.","[28, 12, 35, 14]"
531309,더 보이,https://image.tmdb.org/t/p/w500/eTEXcHiEk6r10HD2015xNYLUWYu.jpg,1362815,2019-05-10,"어느 날, 간절히 아기를 원하던 부부에게 찾아온 다른 세계의 소년 ‘브랜든’. 부모의 보살핌 속에 평범하게 자라던 중 자신에게 숨겨진 강력한 힘을 깨닫게 되면서 인류를 위협할 사악한 본성을 드러내기 시작하는데…","[27, 878, 18, 53]"
485811,레드콘 1,https://image.tmdb.org/t/p/w500/jOYUbe61DQiY628inVkR1KERS30.jpg,231084,2018-09-28,좀비 바이러스가 런던의 한 교도소로부터 퍼진 이후 살아남은 사람들은 남쪽 장벽 안에 피신 중이다. 점점 좀비들의 전투 능력이 향상되는 가운데 장벽이 무너지는 것은 시간 문제일 뿐. 이 와중에 좀비 사태를 해결할 과학자가 런던에 생존하고 있다는 것을 알게 되고 이 사람을 구하기 위해 8명의 특공대가 파견된다. 주어진 시간은 72시간... 이들의 임무는 성공할 수 있을 것인가?,"[28, 27]"
457799,나는 악마를 사랑했다,https://image.tmdb.org/t/p/w500/3S9hjxjPePMGUjNRwnA4MrQxJFX.jpg,69237,2019-05-02,잔인한 연쇄살인범 테드 번디를 새로운 시선으로 바라본다. 수년간 번디가 무고하다 믿었던 그의 오랜 연인 리즈. 그녀의 눈에 비친 번디는 어떤 남자였을까.,"[53, 80, 18, 36]"
263115,로건,https://image.tmdb.org/t/p/w500/rja1gdkI1yD4srW0ZvLRPwIbAt8.jpg,366,2017-02-28,"2029년 알 수 없는 이유로 돌연변이들이 태어나지 않는 미래, 더이상 엑스맨은 없다. 갈수록 재생력이 약해져 늙고 수척해진 로건(휴 잭맨)은 멕시코 국경지대 은신처에 찰스 교수(패트릭 스튜어트)를 보호 중이다. 뇌에 심각한 손상을 입은 찰스 교수는 과거를 제대로 기억하지 못하는 데다 간헐적으로 주변을 위협하는 발작까지 일으킨다. 찰스 교수와 함께 떠날 배를 사기 위해 리무진 기사로 일하며 돈을 모으는 로건. 어느 날 낯선 여인이 찾아와 돌연변이 소녀 로라(다프네 킨)를 캐나다 국경까지 데려다 달라고 부탁한다. 로건은 로라를 쫓는 기업의 경호집단을 피해 험난한 여정을 떠난다.","[28, 18, 878]"
522681,이스케이프 룸,https://image.tmdb.org/t/p/w500/cblZ470f8YuXug9heP9xCWBkz7k.jpg,1306608,2019-01-03,"거액의 상금이 걸린 방탈출 게임에 초대된 6명의 사람들. 성별, 연령, 출신도 모두 다른 이들은 오직 초대장만을 가지고 세계 최고의 방탈출 게임 회사 ‘미노스’에 모인다. 하지만 초대자는 나타나지 않고, 예고도 없이 시작되는 게임. 불태워 죽일 듯이 순식간에 방안의 온도가 상승하고 6명의 참가자는 탈출하기 위해 단서를 찾기 시작한다. 죽음의 공포 속에서 아슬아슬하게 다음 방으로 넘어간 참가자들은 오븐 룸, 아이스 룸, 업사이드다운 룸, 포이즌 룸, 일루전 룸, 크러쉬 룸을 거치며 이것이 평범한 게임이 아니란 걸 알게 되는데…","[53, 28, 27, 878]"
363088,앤트맨과 와스프,https://image.tmdb.org/t/p/w500/3E6b73EeYqY7PGJNJWjR9AANXVw.jpg,59026,2018-07-04,"캡틴 아메리카의 요청으로 독일까지 가서 아이언맨 일행과 싸우고 돌아온 스콧(폴 러드)은 어느 날 이상한 꿈을 꾼다. 그가 행크 핌 박사(마이클 더글러스)와 호프(에반젤린 릴리)에게 꿈 이야기를 들려주자, 호프는 미지의 양자 영역에 갇혀버린 엄마 재닛(미셸 파이퍼)의 메시지라는 것을 확신하게 된다. 행크 핌 박사는 자신의 비밀 연구소에서 그동안 개발해왔던 양자 터널과 탐색기를 이용해 1대 와스프 재닛의 구출작전을 펼치려 하지만, 시공간의 개념이 사라진 양자 영역으로 들어갈 수 있는 기술을 훔쳐 달아난 고스트 고스트(해나 존 케이먼)가 나타나면서 일이 꼬여간다.","[28, 12, 878, 35, 10751]"
458723,어스,https://image.tmdb.org/t/p/w500/vfNBftZoXsUnNWccz8ew9h8Jicx.jpg,291263,2019-03-14,"애들레이드와 게이브 윌슨(루피타 뇽오와 윈스턴 듀크)은 아이들을 데리고 캘리포니아 북부에 있는 아들레이드의 오래된 해변가로 여름 휴가를 떠난다. 다음날 합류 한 타일러 가족(엘리자베스 모스와 팀 하이데커)과 함께 해변에서 하루를 보내지만, 애들레이드는 과거에 겪은 트라우마 증상이 심해지며 나쁜 일이 일어날 것이라는 공포에 시달린다. 밤이 되고 윌슨은 차도에 조용히 서있는 네명의 손을 맞잡은 뭔가를 보게 되는데...","[53, 27]"
500682,하이웨이맨,https://image.tmdb.org/t/p/w500/4bRYg4l12yDuJvAfqvUOPnBrxno.jpg,54040,2019-03-15,"미국 최악의 범죄자 커플 보니와 클라이드를 잡기 위해, FBI와 최신 과학수사 기법을 총동원하는 텍사스 주정부. 하지만 실패만 거듭하면서 전직 레인저 두 명(케빈 코스트너와 우디 해럴슨)이 소환된다. 젊은 경찰들의 조롱에도 불구하고, 오로지 본능과 경험에 의존하는 두 사람. 그들의 숨겨진 실화가 공개된다.","[80, 18, 53]"
390634,페이트/스테이 나이트 [헤븐즈 필] 제2장 로스트 버터플라이,https://image.tmdb.org/t/p/w500/jrwCvGKj2W2VkyMsyWKbzzx0kew.jpg,1196401,2019-01-12,"10년 만에 후유키시에서 시작된 [성배전쟁]은 이 전쟁의 3대 가문인 마토 가문의 당주 마토 조켄의 참전으로 인하여 일그러지고, 뒤틀리고, 어긋나 버렸다. 마스터로서 싸움에 가담한 에미야 시로도 부상을 입고 서번트인 세이버마저 잃어버렸지만, 그는 마토 사쿠라를 지키기 위해 싸움에서 물러나지 않는다. 하지만 그녀 또한 마술사의 숙명에 사로잡히는데...","[16, 28, 14, 12]"
500852,미스 발라,https://image.tmdb.org/t/p/w500/ae9yrSAS7nLZPbbkOm61pSuIqeo.jpg,19850,2019-02-01,"글로리아 푸엔테스(지나 로드리게스 분)는 로스앤젤레스 출신의 라틴 아메리카 메이크업 아티스트로, 가장 친한 친구 스즈(Suzu)를 만나러 멕시코 티후아나를 방문한다.  그들은 만남을 즐기기 위해 현지 나이트클럽에 함께 갔다가 멕시코 갱단과의 범죄에 연루된다.","[53, 28, 18]"
535167,유랑지구,https://image.tmdb.org/t/p/w500/yrCsTt8phrO3tYQy0Nwep3bjLKm.jpg,1100748,2019-02-05,"​가까운 미래, 태양계 소멸 위기를 맞은 지구는 영하 70도의 이상 기후와 함께 목성과의 충돌이라는 대재앙에 직면한다. 그러자, 전 세계 연합정부는 지구 자체를 태양계 밖으로 이동시키기 위한 범우주적 인류이민계획을 세우는데…","[878, 28, 18]"
99861,어벤져스: 에이지 오브 울트론,https://image.tmdb.org/t/p/w500/dOz2bRZ8upRz8mOIu1RdSDzkV02.jpg,12891,2015-04-22,"토니 스타크는 뉴욕전쟁 때와 같은 사태가 벌어지지 않도록 한때 가동하려다 중단된 휴면 상태의 평화 유지 프로그램을 작동 시키려 한다. 배너 박사와 함께 지구를 지킬 최강의 인공지능 울트론을 탄생시키게 되지만, 울트론은 예상과 다르게 지배를 벗어나 폭주하기 시작하고 어벤져스는 지구의 운명이 걸린 거대한 시험대에 오르게 된다. 울트론이 자신을 복제해 위협을 가하자 이를 저지하기 위해 아이언맨, 캡틴 아메리카, 토르, 헐크, 블랙위도우, 호크아이 등으로 구성된 어벤져스와 새로 합류하게 되는 퀵 실버, 스칼렛 위치 남매와 불안한 동맹을 맺는다.","[28, 12, 878]"
424783,범블비,https://image.tmdb.org/t/p/w500/a1XTVjEiShbX1XE6Uvaho49gw3l.jpg,1033661,2018-12-15,"지속된 디셉티콘과의 전쟁에서 위기에 몰린 옵티머스 프라임은 중요한 임무를 가진 오토봇을 지구로 보낸다.  지구에 도착한 오토봇은 인간들에게 쫓기게 되고, 낡은 비틀로 변신해 폐차장에 은둔하던 중,  찰리라는 소녀에 의해 발견된다.  비틀을 수리하던 찰리는 자신의 낡은 자동차가 거대한 로봇으로 변신하는 놀라운 광경을 목격하고,  모든 기억이 사라진 그에게 ‘범블비’라는 이름을 지어주며 서로에게 특별한 존재가 되어간다.  하지만, 범블비의 정체를 파헤치려는 인간들과 그가 가진 비밀을 쫓는 디셉티콘의 추격과 압박은 점점 더 심해지는데…","[28, 12, 878]"
297802,아쿠아맨,https://image.tmdb.org/t/p/w500/zoIFp0S7EdGuQ2iR9eBJb6UxGkv.jpg,2127,2018-12-07,"정략결혼을 피해 해저 왕국 아틀란티스에서 도망쳐 육지로 오게 된 아틀라나(니콜 키드먼)는 등대지기 톰(테무에라 모리슨)과 사랑에 빠진다. 아틀란티스의 세력으로부터 남편과 아들 아서(제이슨 모모아)을 지키기 위해서 아틀라나는 바다로 돌아가고, 육지에 남은 아서는 어릴 때부터 자신의 초능력을 인지해 인간세계의 해적을 물리치는 등 나름의 활약을 펼친다. 한편 아서의 이부형제 옴(패트릭 윌슨)은 육지를 정복하기 위한 작전을 세운다. 옴의 약혼자이자 네레우스 왕의 딸 메라(앰버 허드)는 아서에게 평화를 위해 해저 7개 왕국의 왕이 되어야만 한다고 설득하는데...","[12, 14]"
302349,아이언 스카이 2,https://image.tmdb.org/t/p/w500/l5t2Nf1F7iQUKTrODg93xmQzZLj.jpg,66212,2019-01-25,,"[28, 35, 14, 878, 12]"
399579,알리타: 배틀 엔젤,https://image.tmdb.org/t/p/w500/EmKXs46sx0YjwMY1LaELSPUFim.jpg,2294,2019-01-31,모두가 갈망하는 공중도시와 그들을 위해 존재하는 고철도시로 나누어진 26세기. 고철 더미 속 모든 기억을 잃은 채 깨어난 알리타는 마음 따뜻한 의사 이도의 보살핌으로 새로운 삶을 시작한다. 이도는 사이보그인 알리타에게 특별한 과거의 비밀과 영혼이 존재한다는 사실을 깨닫고 미스터리한 과거로부터 그녀를 지키고자 한다. 한편 새로운 친구 휴고는 알리타가 위험한 고철도시를 헤쳐나갈 수 있는 방법과 함께 기억을 되찾도록 돕는다. 알리타가 자신의 과거에 다가 갈수록 도시를 지배하는 악랄한 세력들이 그녀를 노리며 제거하려고 하는데...,"[28, 878, 53, 12]"
491418,인스턴트 패밀리,https://image.tmdb.org/t/p/w500/dic3GdmMpxxfkCQfvZnasb5ZkSG.jpg,74619,2018-11-16,"피트와 엘리 부부는 직접 자신들의 아이를 낳는 대신 입양을하기로 하지만, 그들의 계획과는 달리 대부분의 가정에서 입양하기를 꺼리는 십 대 아이 세 명을 입양하게 되는 상황에 놓인다.  서로가 서로의 새로운 가족이 되는 과정 속에서 그들은 갈등을 겪게 되지만 점차 진정한 가족의 의미를 깨닫게 되는데…","[35, 18]"
